TS,Device,Sensor,Value
2018-08-28 23:00:05.000,1,1,10.16
2018-08-28 23:00:05.000,1,4,84.53
2018-08-28 23:00:05.000,2,1,12.3
2018-08-28 23:00:05.000,2,4,80.25
2018-08-28 23:00:05.000,3,1,14.44
2018-08-28 23:00:05.000,3,4,82.39
2018-08-28 23:00:05.000,3,5,109.77
2018-08-28 23:00:10.000,1,1,12.46
2018-08-28 23:00:10.000,2,1,13.065
2018-08-28 23:00:10.000,2,4,80.9
2018-08-28 23:00:10.000,3,1,10.87
2018-08-28 23:00:15.000,1,2,33.42
2018-08-28 23:00:15.000,1,4,83.76
2018-08-28 23:00:15.000,2,2,37.7
2018-08-28 23:00:15.000,2,4,83.84
2018-08-28 23:00:15.000,3,2,39.15
2018-08-28 23:00:15.000,3,4,81.62
2018-08-28 23:00:20.000,1,2,31.38
2018-08-28 23:00:20.000,1,4,82.74
2018-08-28 23:00:20.000,2,2,35.65
2018-08-28 23:00:20.000,2,3,61.895
2018-08-28 23:00:20.000,2,4,84.87
2018-08-28 23:00:20.000,3,4,80.6
2018-08-28 23:00:25.000,1,2,33.79
2018-08-28 23:00:25.000,1,3,63.97
2018-08-28 23:00:25.000,2,3,61.11
2018-08-28 23:00:25.000,3,3,60.18
2018-08-28 23:00:30.000,1,2,38.215
2018-08-28 23:00:30.000,1,4,80.45
2018-08-28 23:00:30.000,2,2,31.08
2018-08-28 23:00:30.000,2,4,82.59
2018-08-28 23:00:30.000,3,2,35.36
2018-08-28 23:00:30.000,3,4,84.73
2018-08-28 23:00:35.000,1,2,34.24
2018-08-28 23:00:35.000,1,4,82.75
2018-08-28 23:00:35.000,1,5,105.54
2018-08-28 23:00:35.000,2,2,35.69
2018-08-28 23:00:35.000,3,1,10.71
2018-08-28 23:00:35.000,3,2,39.97
2018-08-28 23:00:35.000,3,5,101.26
2018-08-28 23:00:40.000,1,5,102.08
2018-08-28 23:00:40.000,2,5,108.28
2018-08-28 23:00:40.000,3,1,13.01
2018-08-28 23:00:40.000,3,3,64.23
2018-08-28 23:00:40.000,3,5,107.8
2018-08-28 23:00:45.000,1,1,11.25
2018-08-28 23:00:45.000,1,4,83.1
2018-08-28 23:00:45.000,2,1,10.87
2018-08-28 23:00:45.000,2,5,103.615
2018-08-28 23:00:45.000,3,4,80.96
2018-08-28 23:00:50.000,1,2,31.18
2018-08-28 23:00:50.000,1,3,63.74
2018-08-28 23:00:50.000,1,5,109.535
2018-08-28 23:00:50.000,2,2,35.45
2018-08-28 23:00:50.000,3,2,39.73
2018-08-28 23:00:50.000,3,4,84.94
2018-08-28 23:00:55.000,1,2,30.06
2018-08-28 23:00:55.000,1,5,105.97
2018-08-28 23:00:55.000,2,1,10.76
2018-08-28 23:00:55.000,2,2,34.34
2018-08-28 23:00:55.000,2,4,82.8
2018-08-28 23:00:55.000,2,5,100.25
2018-08-28 23:00:55.000,3,2,35.79
2018-08-28 23:01:00.000,1,3,60.94
2018-08-28 23:01:00.000,2,1,11.03
2018-08-28 23:01:00.000,2,2,33.32
2018-08-28 23:01:00.000,2,3,63.08
2018-08-28 23:01:00.000,2,4,83.71
2018-08-28 23:01:00.000,3,2,37.6
2018-08-28 23:01:00.000,3,4,80.85
2018-08-28 23:01:05.000,1,3,61.84
2018-08-28 23:01:05.000,1,5,107.78
2018-08-28 23:01:05.000,2,3,63.275
2018-08-28 23:01:05.000,2,5,109.23
2018-08-28 23:01:05.000,3,3,64.7
2018-08-28 23:01:05.000,3,5,103.5
2018-08-28 23:01:10.000,1,1,14.79
2018-08-28 23:01:10.000,1,3,62.94
2018-08-28 23:01:10.000,2,1,11.93
2018-08-28 23:01:10.000,2,3,63.21
2018-08-28 23:01:10.000,3,1,12.66
2018-08-28 23:01:10.000,3,3,60.8
2018-08-28 23:01:10.000,3,4,80.35
2018-08-28 23:01:15.000,1,1,14.03
2018-08-28 23:01:15.000,1,2,30.88
2018-08-28 23:01:15.000,1,3,61.08
2018-08-28 23:01:15.000,1,4,83.39
2018-08-28 23:01:15.000,2,1,11.17
2018-08-28 23:01:15.000,3,1,13.3
2018-08-28 23:01:15.000,3,4,81.26
2018-08-28 23:01:20.000,1,5,106.67
2018-08-28 23:01:20.000,2,2,36.04
2018-08-28 23:01:20.000,2,4,81.17
2018-08-28 23:01:20.000,2,5,104.02
2018-08-28 23:01:20.000,3,5,103.54
2018-08-28 23:01:25.000,1,2,30.65
2018-08-28 23:01:25.000,1,3,64.75
2018-08-28 23:01:25.000,1,4,84.03
2018-08-28 23:01:25.000,2,2,38.24
2018-08-28 23:01:25.000,3,2,36.37
2018-08-28 23:01:25.000,3,3,61.89
2018-08-28 23:01:25.000,3,5,103.93
2018-08-28 23:01:30.000,1,3,62.06
2018-08-28 23:01:30.000,1,5,100.41
2018-08-28 23:01:30.000,2,3,64.2
2018-08-28 23:01:30.000,2,5,104.69
2018-08-28 23:01:30.000,3,3,61.88
2018-08-28 23:01:30.000,3,5,106.13
2018-08-28 23:01:35.000,1,1,12.31
2018-08-28 23:01:35.000,1,3,63.16
2018-08-28 23:01:35.000,1,4,81.31
2018-08-28 23:01:35.000,2,3,60.3
2018-08-28 23:01:35.000,2,4,82.03
2018-08-28 23:01:35.000,3,3,61.02
2018-08-28 23:01:35.000,3,4,84.17
2018-08-28 23:01:40.000,1,2,37.58
2018-08-28 23:01:40.000,1,5,106.32
2018-08-28 23:01:40.000,2,1,10.18
2018-08-28 23:01:40.000,2,4,82.41
2018-08-28 23:01:40.000,3,4,84.54
2018-08-28 23:01:45.000,1,5,102.58
2018-08-28 23:01:45.000,2,1,13.43
2018-08-28 23:01:45.000,2,2,30.33
2018-08-28 23:01:45.000,2,3,61.38
2018-08-28 23:01:45.000,2,5,104.45
2018-08-28 23:01:45.000,3,4,83.52
2018-08-28 23:01:45.000,3,5,108.31
2018-08-28 23:01:50.000,1,2,34.215
2018-08-28 23:01:50.000,1,4,84.52
2018-08-28 23:01:50.000,2,2,38.49
2018-08-28 23:01:50.000,2,5,109.06
2018-08-28 23:01:50.000,3,4,81.65
2018-08-28 23:01:55.000,1,3,60.99
2018-08-28 23:01:55.000,1,5,104.493333333333
2018-08-28 23:01:55.000,2,5,104.395
2018-08-28 23:01:55.000,3,3,63.85
2018-08-28 23:02:00.000,1,1,13.24
2018-08-28 23:02:00.000,1,3,64.58
2018-08-28 23:02:00.000,1,4,81.9
2018-08-28 23:02:00.000,2,1,14.67
2018-08-28 23:02:00.000,2,3,61.72
2018-08-28 23:02:00.000,3,1,11.81
2018-08-28 23:02:05.000,1,5,107.26
2018-08-28 23:02:05.000,2,4,82.62
2018-08-28 23:02:05.000,2,5,101.54
2018-08-28 23:02:05.000,3,1,12.91
2018-08-28 23:02:05.000,3,3,60.86
2018-08-28 23:02:05.000,3,4,84.76
2018-08-28 23:02:05.000,3,5,102.99
2018-08-28 23:02:10.000,1,3,61.58
2018-08-28 23:02:10.000,2,1,11.67
2018-08-28 23:02:10.000,2,3,64.27
2018-08-28 23:02:10.000,3,1,13.81
2018-08-28 23:02:10.000,3,3,63.2
2018-08-28 23:02:15.000,1,2,37.57
2018-08-28 23:02:15.000,1,3,62.68
2018-08-28 23:02:15.000,1,4,80.83
2018-08-28 23:02:15.000,2,2,31.84
2018-08-28 23:02:15.000,2,4,81.55
2018-08-28 23:02:15.000,3,3,60.55
2018-08-28 23:02:15.000,3,4,83.69
2018-08-28 23:02:20.000,1,4,81.01
2018-08-28 23:02:20.000,2,1,13.78
2018-08-28 23:02:20.000,2,3,60
2018-08-28 23:02:20.000,2,4,83.61
2018-08-28 23:02:20.000,3,5,102.75
2018-08-28 23:02:25.000,1,2,38.655
2018-08-28 23:02:25.000,1,4,81.74
2018-08-28 23:02:25.000,2,2,32.21
2018-08-28 23:02:25.000,2,5,108.11
2018-08-28 23:02:25.000,3,2,33.65
2018-08-28 23:02:25.000,3,4,83.87
2018-08-28 23:02:30.000,1,3,64.87
2018-08-28 23:02:30.000,1,5,104.56
2018-08-28 23:02:30.000,2,1,12.46
2018-08-28 23:02:30.000,2,3,62.01
2018-08-28 23:02:30.000,2,5,109.56
2018-08-28 23:02:30.000,3,1,14.6
2018-08-28 23:02:35.000,1,5,104.23
2018-08-28 23:02:35.000,2,3,61.56
2018-08-28 23:02:35.000,2,4,81.83
2018-08-28 23:02:35.000,3,1,13.68
2018-08-28 23:02:35.000,3,5,108.186666666667
2018-08-28 23:02:40.000,1,1,13.02
2018-08-28 23:02:40.000,1,3,60.07
2018-08-28 23:02:40.000,2,1,10.16
2018-08-28 23:02:40.000,2,2,31.58
2018-08-28 23:02:40.000,2,3,62.21
2018-08-28 23:02:40.000,2,5,105.68
